city,neighbourhood,min,max,mean,bedrooms,level,neighbourhood-level
Chicago,Austin,3.80666249,4.934473933,4.415347959,1.75,2.523055977,1
Chicago,Avondale,3.218875825,6.683360946,4.304151965,1.581081081,2.722284149,1
LA,Azusa,3.044522438,5.521460918,4.013656548,1.263157895,3.1774781,1
Boston,Back Bay,3.688879454,7.13089883,5.284117291,1.071186441,4.932957597,4
Chicago,Back of the Yards,3.610917913,6.309918278,4.428119933,1.818181818,2.435465963,1
SF,Balboa Terrace,3.663561646,7.374629015,4.945966576,1.625,3.043671739,1
LA,Baldwin Hills,3.688879454,6.522092798,4.807847203,1.526315789,3.149968857,1
LA,Baldwin Park,3.688879454,4.605170186,3.994309698,1,3.994309698,3
DC,Barney Circle,3.828641396,7.467371067,5.223587709,1.571428571,3.324101269,1
DC,Barry Farm,4.094344562,4.094344562,4.094344562,1,4.094344562,3
NYC,Bath Beach,3.555348061,5.192956851,4.306873119,1.090909091,3.947967026,3
NYC,Battery Park City,4.007333185,6.395261598,5.39660034,1.102564103,4.894591006,4
NYC,Bay Ridge,2.833213344,5.991464547,4.235936455,1.09009009,3.885859062,3
NYC,Baychester,3.36729583,5.298317367,4.064608672,1.08,3.763526549,2
NYC,Bayside,3.401197382,6.212606096,4.50557447,1.65,2.730651194,1
SF,Bayview,3.583518938,6.856461985,4.704966353,1.286956522,3.655886017,2
Boston,Beacon Hill,4.234106505,6.64509097,5.21532096,1.157635468,4.505149595,4
NYC,Bedford Park,3.465735903,4.605170186,4.07691111,0.944444444,4.31672941,4
NYC,Bedford-Stuyvesant,2.302585093,7.207859871,4.423185253,1.266050808,3.493687002,1
LA,Bel Air/Beverly Crest,3.218875825,7.600402335,5.739819733,2.244274809,2.557538725,1
LA,Bell,3.912023005,4.127134385,4.019578695,1,4.019578695,3
DC,Bellevue,4.828313737,7.408530567,5.905827743,1.666666667,3.543496646,1
LA,Bellflower,3.737669618,5.521460918,4.616336496,1,4.616336496,4
NYC,Belmont,3.36729583,4.700480366,4.191822736,1,4.191822736,3
Chicago,Belmont Cragin,3.555348061,5.493061443,3.885034318,1.090909091,3.561281458,1
DC,Benning,3.912023005,5.703782475,4.812711402,1.833333333,2.62511531,1
DC,Benning Heights,3.401197382,4.248495242,3.772977136,1.2,3.144147613,1
DC,Benning Ridge,3.583518938,6.109247583,4.687973673,1.5,3.125315782,1
NYC,Bensonhurst,2.397895273,5.703782475,4.217391494,1.108108108,3.805938665,2
NYC,Bergen Beach,3.912023005,5.459585514,4.556318487,1.5,3.037545658,1
DC,Berkley,4.59511985,6.620073207,5.40860945,2.666666667,2.028228544,1
SF,Bernal Heights,3.663561646,7.090076836,5.11265321,1.529411765,3.342888638,1
DC,"Bethesda, MD",5.043425117,5.043425117,5.043425117,1,5.043425117,4
Chicago,Beverly,4.248495242,4.605170186,4.451158366,1.333333333,3.338368775,1
LA,Beverly Hills,3.912023005,7.377758908,5.167878919,1.528301887,3.381451639,1
DC,Bloomingdale,2.995732274,7.467371067,4.713252934,1.358778626,3.468742327,1
NYC,Boerum Hill,3.850147602,6.802394763,4.9499703,1.317365269,3.757477455,2
NYC,Borough Park,3.36729583,5.703782475,4.194592354,1.08,3.883881809,3
LA,Boyle Heights,3.218875825,5.703782475,3.995924684,1.169811321,3.415871101,1
Chicago,Boystown,3.555348061,5.82008293,4.645975337,1.5,3.097316891,1
LA,Bradbury,4.17438727,7.090076836,4.925815807,1.75,2.81475189,1
LA,Brentwood,3.663561646,7.313220387,4.859377655,1.37195122,3.541946379,1
DC,Brentwood,3.663561646,7.313220387,4.859377655,1.37195122,3.541946379,1
Chicago,Bridgeport,3.465735903,5.075173815,4.285011032,1.459459459,2.936026078,1
NYC,Brighton Beach,3.401197382,5.703782475,4.589185124,1.137931034,4.032920261,3
Chicago,Brighton Park,4.143134726,4.317488114,4.23031142,1,4.23031142,4
DC,Brightwood,4.007333185,7.244227516,4.860553645,1.357142857,3.58146058,1
NYC,Bronxdale,3.401197382,4.605170186,4.022820229,1,4.022820229,3
Chicago,Bronzeville,2.302585093,6.684611728,4.430485796,1.446153846,3.063633795,1
DC,Brookland,3.33220451,6.684611728,4.637138212,1.428571429,3.245996749,1
Boston,Brookline,4.787491743,4.828313737,4.80790274,1.5,3.205268493,1
NYC,Brooklyn,3.555348061,5.521460918,4.485204875,1.1875,3.777014632,2
NYC,Brooklyn Heights,4.094344562,7.313220387,5.013295814,1.108108108,4.524193784,4
NYC,Brooklyn Navy Yard,3.80666249,5.857933154,4.520317288,1.150943396,3.927488791,3
NYC,Brownsville,3.33220451,6.761572769,4.399535693,1.129032258,3.896731614,3
Chicago,Bucktown,3.784189634,6.163314804,4.881765876,1.777777778,2.745993305,1
DC,Buena Vista,4.219507705,6.907755279,4.997366951,1.615384615,3.093608113,1
LA,Burbank,3.218875825,6.476972363,4.556333917,1.158823529,3.931861756,3
DC,Burleith,3.63758616,6.396929655,4.696667576,1.363636364,3.444222889,1
NYC,Bushwick,2.302585093,6.907755279,4.274465328,1.142052566,3.742792106,2
LA,Cahuenga Pass,4.007333185,7.494986234,5.263487016,1.714285714,3.070367426,1
Boston,Cambridge,5.521460918,5.988961417,5.755211167,3.5,1.644346048,1
NYC,Canarsie,3.401197382,6.396929655,4.504400914,1.408450704,3.198124649,1
LA,Canoga Park,3.091042453,5.241747015,4.34311622,1.083333333,4.009030357,3
DC,Capitol Hill,3.555348061,7.549609165,5.34435479,1.477186312,3.617928725,1
NYC,Carroll Gardens,3.80666249,7.240649694,5.018642531,1.482352941,3.385592184,1
LA,Carson,3.688879454,5.293304825,4.323590357,1.210526316,3.5716616,1
DC,Carver Langston,3.80666249,6.956545443,4.83722573,1.157894737,4.17760404,3
NYC,Castle Hill ,4.094344562,5.703782475,4.714566762,2.333333333,2.020528612,1
NYC,Castleton Corners,5.59471138,5.59471138,5.59471138,4,1.398677845,1
DC,Cathedral Heights,3.091042453,6.309918278,4.69382727,1,4.69382727,4
DC,Central Northeast/Mahaning Heights,3.912023005,6.620073207,4.961836239,1.5,3.307890826,1
LA,Cerritos,3.63758616,5.521460918,4.385385178,2,2.192692589,1
Boston,Charlestown,3.80666249,7.13089883,5.227896736,1.568965517,3.332066052,1
Chicago,Chatham,3.688879454,5.356586275,4.67406649,1.333333333,3.505549868,1
LA,Chatsworth,3.433987204,5.703782475,4.384310735,1.181818182,3.709801391,2
NYC,Chelsea,3.828641396,7.456454555,5.237081742,1.082872928,4.83628467,4
Boston,Chestnut Hill,3.688879454,4.779123493,4.292138727,1.142857143,3.755621387,2
DC,Chevy Chase,3.555348061,6.907755279,4.924722353,1.714285714,2.872754706,1
DC,"Chevy Chase, MD",7.13089883,7.13089883,7.13089883,5,1.426179766,1
DC,"Chillum, MD",5.480638923,5.480638923,5.480638923,3,1.826879641,1
NYC,Chinatown,2.944438979,7.408530567,5.041875031,1.238683128,4.070350938,3
Boston,Chinatown,2.944438979,7.408530567,5.041875031,1.238683128,4.070350938,3
Chicago,Chinatown,2.944438979,7.408530567,5.041875031,1.238683128,4.070350938,3
SF,Chinatown,2.944438979,7.408530567,5.041875031,1.238683128,4.070350938,3
DC,Chinatown,2.944438979,7.408530567,5.041875031,1.238683128,4.070350938,3
NYC,City Island,4.127134385,5.703782475,4.782335707,1.5,3.188223805,1
SF,Civic Center,3.80666249,6.684611728,4.958793228,0.839285714,5.908349378,4
NYC,Civic Center,3.80666249,6.684611728,4.958793228,0.839285714,5.908349378,4
NYC,Claremont,3.401197382,4.86753445,4.043473081,1.076923077,3.754653575,2
Chicago,Clearing,4.234106505,4.234106505,4.234106505,1,4.234106505,4
DC,Cleveland Park,2.708050201,7.313220387,4.82600886,1.0625,4.542125986,4
NYC,Clifton,4.248495242,4.248495242,4.248495242,1,4.248495242,4
NYC,Clinton Hill,3.091042453,6.906754779,4.693861158,1.23987034,3.785767758,2
NYC,Co-op City,4.382026635,5.298317367,4.896993098,1,4.896993098,4
NYC,Cobble Hill,4.234106505,6.620073207,5.15528333,1.444444444,3.569042306,1
SF,Cole Valley,4.094344562,7.13089883,5.326456657,1.717948718,3.100474771,1
NYC,College Point,3.17805383,5.991464547,4.247484201,1.333333333,3.18561315,1
DC,Colonial Village,4.007333185,5.966146739,4.703094251,1,4.703094251,4
DC,Columbia Heights,2.708050201,7.466799475,4.887982955,1.362416107,3.587731331,1
NYC,Columbia Street Waterfront,4.17438727,5.616771098,4.915406805,1.321428571,3.719767312,2
LA,Commerce,4.369447852,4.369447852,4.369447852,1,4.369447852,4
LA,Compton,3.555348061,5.298317367,4.143424876,1.125,3.683044334,2
NYC,Concord,3.761200116,4.077537444,3.91936878,1,3.91936878,3
NYC,Concourse,3.401197382,5.521460918,4.1583674,1.135135135,3.663323662,2
NYC,Concourse Village,3.663561646,4.976733742,4.378712919,1,4.378712919,4
NYC,Coney Island,3.258096538,5.105945474,4.272492615,1.117647059,3.82275655,2
DC,Congress Heights,4.007333185,4.828313737,4.334257553,1,4.334257553,4
Boston,Coolidge Corner,5.416100402,5.416100402,5.416100402,1,5.416100402,4
NYC,Corona,2.944438979,5.164785974,4.045345701,1.049180328,3.855720121,2
NYC,Country Club,4.543294782,4.543294782,4.543294782,1,4.543294782,4
LA,Covina,3.526360525,4.744932128,3.929984398,1.166666667,3.368558055,1
SF,Cow Hollow,4.382026635,7.313220387,5.515461413,1.492957746,3.694318493,2
DC,Crestwood,3.80666249,6.745236349,5.014242147,1.882352941,2.663816141,1
SF,Crocker Amazon,3.663561646,7.313220387,4.745251335,1.465116279,3.23882234,1
NYC,Crotona,3.555348061,4.787491743,4.197792644,1.4,2.998423317,1
NYC,Crown Heights,2.995732274,7.003065459,4.445013858,1.227906977,3.619992346,1
LA,Culver City,3.295836866,6.907755279,4.71650316,1.374193548,3.432197135,1
